"Run","Sample.Name","Experiment","name_CW","read_type"
"SRR7279500","PI129033","SRX4183291","CW0135","paired"
"SRR11093186","EA00940","SRX7732015","CW0136","single"
"SRR7279682","BGV007023","SRX4183109","CW0137","paired"
"SRR11097111","LA0417","SRX7735877","CW0138","single"
"SRR7279491","BGV005895","SRX4183300","CW0139","paired"
"SRR7279714","BGV007911","SRX4183077","CW0140","paired"
"SRR7279641","BGV008067","SRX4183150","CW0141","paired"
"SRR7279688","BGV007870","SRX4183103","CW0142","paired"
"SRR7279680","BGV007901","SRX4183111","CW0143","paired"
"SRR7279548","BGV012614","SRX4183243","CW0144","paired"
"SRR7279649","BGV007015","SRX4183142","CW0145","paired"
"SRR7279647","BGV006867","SRX4183144","CW0146","paired"
"SRR11073829","LA1090","SRX7713271","CW0147","single"
"SRR7279575","BGV007908","SRX4183216","CW0148","paired"
"SRR7279556","BGV007933","SRX4183235","CW0149","paired"
"SRR11093197","PI311117","SRX7732004","CW0150","single"
"SRR7279492","BGV004584","SRX4183299","CW0151","paired"
"SRR7279605","BGV012640","SRX4183186","CW0153","paired"
"SRR7279541","BGV007017","SRX4183250","CW0154","paired"
"SRR7279609","BGV008219","SRX4183182","CW0155","paired"
"SRR7279717","BGV008189","SRX4183074","CW0156","paired"
"SRR7279640","BGV006865","SRX4183151","CW0157","paired"
"SRR11093188","LYC1410","SRX7732013","CW0158","single"
"SRR7279558","BGV008036","SRX4183233","CW0159","paired"
"SRR7279634","BGV013945","SRX4183157","CW0160","paired"
"SRR7279587","BGV006927","SRX4183204","CW0161","paired"
"SRR7279586","BGV007990","SRX4183205","CW0162","paired"
"SRR7279648","BGV006910","SRX4183143","CW0163","paired"
"SRR7279646","BGV006828","SRX4183145","CW0164","paired"
"SRR7279502","LA0767","SRX4183289","CW0165","paired"
"SRR7279570","BGV013134","SRX4183221","CW0166","paired"
"SRR7279573","BGV014514","SRX4183218","CW0167","paired"
"SRR7279495","BGV015727","SRX4183296","CW0168","paired"
"SRR7279534","BGV008106","SRX4183257","CW0169","paired"
"SRR11073830","PI169588","SRX7713270","CW0170","single"
"SRR11073832","EA00488","SRX7713268","CW0171","single"
"SRR11093195","LYC3153","SRX7732006","CW0172","single"
"SRR11093194","TR00020","SRX7732007","CW0173","single"
"SRR7279576","BGV008354","SRX4183215","CW0174","paired"
"SRR11093181","TR00021","SRX7732020","CW0175","single"
"SRR7279608","BGV007927","SRX4183183","CW0176","paired"
"SRR7279668","BGV006235","SRX4183123","CW0177","paired"
"SRR7279536","BGV008108","SRX4183255","CW0178","paired"
"SRR7279525","BGV014518","SRX4183266","CW0179","paired"
"SRR7279571","BGV008345","SRX4183220","CW0180","paired"
"SRR7279514","BGV008058","SRX4183277","CW0181","paired"
"SRR7279677","BGV007111","SRX4183114","CW1000","paired"
