SRX25048037_SRR29540650	SRX25048037_SRR29540650	-0.0494792029881874	-0.0212962026349474	0.0169069291979708	0.0178797612687248	-0.0320760155079637
SRX27341371_SRR31986664	SRX27341371_SRR31986664	-0.0569713417358824	-0.0302157603928919	0.0131358530627742	0.00242882315220756	-0.0055352055914522
SRX27341537_SRR31986498	SRX27341537_SRR31986498	-0.0563151191949466	-0.0275250956116749	0.012021418075272	0.0043723778975628	-0.0134913953586312
SRX326415_SRR941559	SRX326415_SRR941559	-0.0577367584535544	-0.0290699081774545	0.0114003344638227	0.00157323198845447	-0.00938123574021196
SRX4183065_SRR7279726	SRX4183065_SRR7279726	-0.053923623118138	-0.0251517424629279	0.0166004950884824	0.0141355138624872	-0.0313325383108078
SRX4183066_SRR7279725	SRX4183066_SRR7279725	-0.0582096152587855	-0.0294810954787081	0.0141481440971976	0.00434462852648298	-0.0117155151511044
SRX4183067_SRR7279724	SRX4183067_SRR7279724	-0.0575569622662413	-0.028859964951572	0.0149355607008197	0.00485699650091945	-0.0131084962112779
SRX4183068_SRR7279723	SRX4183068_SRR7279723	-0.0566460491304333	-0.0284386379705655	0.0144030122970448	0.00507051971146994	-0.0137913858964479
SRX4183069_SRR7279722	SRX4183069_SRR7279722	-0.0580685049745258	-0.029400785700711	0.0141914234000501	0.0048305608079995	-0.0122066963541258
SRX4183070_SRR7279721	SRX4183070_SRR7279721	0.0892503140298262	0.0478791928419515	-0.153632408046997	0.186815909404268	-0.129707464495749
SRX4183071_SRR7279720	SRX4183071_SRR7279720	0.0609517255739764	0.201638365614584	0.185914293555653	-0.0569608221469574	-0.0819811171181469
SRX4183073_SRR7279718	SRX4183073_SRR7279718	-0.0481431903066159	-0.0133646257040551	-0.00328318101251799	-0.0293290240577225	-0.0169376991494142
SRX4183074_SRR7279717	SRX4183074_SRR7279717	0.0508596675826617	-0.10620589447199	0.0101749452389324	-0.179579612734861	0.0508576296554226
SRX4183075_SRR7279716	SRX4183075_SRR7279716	-0.0515496233156964	-0.0192978083987546	0.003509106599616	-0.0132478757219937	-0.0218653284216987
SRX4183077_SRR7279714	SRX4183077_SRR7279714	-0.0525955441955629	-0.0238166131649406	0.0158908726165676	0.0144103709485335	-0.0319359665460258
SRX4183078_SRR7279713	SRX4183078_SRR7279713	-0.0269447878350134	-0.0583084864974828	0.0237957325786319	-0.0741027390389251	0.0964287684038962
SRX4183080_SRR7279711	SRX4183080_SRR7279711	-0.0579282203718941	-0.0292443844558853	0.0143553500951908	0.00502375243576215	-0.0128513576921874
SRX4183082_SRR7279709	SRX4183082_SRR7279709	-0.0302358291335253	0.0186234776637654	-0.0358495547362885	-0.0212717405519574	-0.0663458488259415
SRX4183083_SRR7279708	SRX4183083_SRR7279708	-0.0134964050678783	0.029600213153213	-0.106398388044505	0.011398705881884	-0.00666563574772687
SRX4183084_SRR7279707	SRX4183084_SRR7279707	-0.0108800766506917	0.0405239401126571	-0.0314150074589426	-0.022325086827708	-0.019203538935463
SRX4183085_SRR7279706	SRX4183085_SRR7279706	-0.011327416583035	0.0415769477809256	-0.0382070721783343	-0.0468542954777547	-0.0149981368495149
SRX4183086_SRR7279705	SRX4183086_SRR7279705	0.0124395973585026	0.0697924608345232	-0.0336446864410659	-0.023597233101	-0.0501907643848263
SRX4183089_SRR7279702	SRX4183089_SRR7279702	0.0596501004409476	0.166691284486403	0.120041044976245	-0.00880691901660422	-0.102355594555721
SRX4183093_SRR7279698	SRX4183093_SRR7279698	0.121686243600224	0.00554668353634113	-0.113247561316583	0.175315584990853	-0.143065488689796
SRX4183095_SRR7279696	SRX4183095_SRR7279696	0.1667721417838	-0.0407574387872016	-0.087779173378813	0.12097445038198	-0.237178889463889
SRX4183098_SRR7279693	SRX4183098_SRR7279693	0.11273099794759	0.0528494564490189	-0.174158786409825	0.230257100954757	-0.164264489329172
SRX4183099_SRR7279692	SRX4183099_SRR7279692	0.0637229765404342	0.211278895246422	0.200474306311865	-0.0641685595803534	-0.0968256844092723
SRX4183100_SRR7279691	SRX4183100_SRR7279691	-0.0562793522513304	-0.0273425990513512	0.0139557728075639	0.00700869482124048	-0.0209131021320317
SRX4183101_SRR7279690	SRX4183101_SRR7279690	-0.0582782998759669	-0.0295488588804636	0.0145242209857442	0.00483870199490524	-0.0124674582529012
SRX4183102_SRR7279689	SRX4183102_SRR7279689	-0.0565439639844599	-0.0295284333539165	0.0124617640982966	0.00400777851418647	-0.00742288947884903
SRX4183103_SRR7279688	SRX4183103_SRR7279688	-0.0557604739542562	-0.0296493550790779	0.0133833636541846	0.00274329212412602	-0.00974411818584757
SRX4183104_SRR7279687	SRX4183104_SRR7279687	0.0686277924422004	0.215946915681268	0.190858523193183	-0.0682773091164911	-0.0936741818097033
SRX4183105_SRR7279686	SRX4183105_SRR7279686	0.0639114861312997	0.211340348369642	0.197802441635359	-0.0667788032835518	-0.0943097069204239
SRX4183106_SRR7279685	SRX4183106_SRR7279685	0.104900217939261	0.0517087987358927	-0.16889260083745	0.218078672096551	-0.155420920862626
SRX4183107_SRR7279684	SRX4183107_SRR7279684	-0.0571035707313906	-0.0286676549469011	0.0146528478321774	0.00572285144108229	-0.0151411658646835
SRX4183109_SRR7279682	SRX4183109_SRR7279682	0.0044236297857922	0.0585025813234449	-0.194437127891108	0.00518634909052202	0.0643538506100292
SRX4183110_SRR7279681	SRX4183110_SRR7279681	-0.0562860000968443	-0.027270234481865	0.0147860055804537	0.00953876795057013	-0.0264151334807524
