sample	data_type	qc_pipeline	reference	total_reads	mapped_reads	mapped_pct	proper_pairs	proper_pairs_pct	mean_mapq	median_mapq	mq0	mq0_pct	mq1_19	mq1_19_pct	mq20_29	mq20_29_pct	mq30_59	mq30_59_pct	mq60	mq60_pct	coverage_mean	coverage_median	pct_zero_coverage
SRX4183140_SRR7279651_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	146372769	145542151	99.43	135760558	92.7499	48.8186	60	21695179	14.9065	2657323	1.8258	1719329	1.1813	8240499	5.6619	111229821	76.4245	26.8772	24	1.1989
SRX4183154_SRR7279637_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	86129840	85622793	99.41	79539208	92.3480	49.5552	60	12224496	14.2772	1152103	1.3456	849726	0.9924	4680549	5.4665	66715919	77.9184	15.8821	14	0.5870
SRX4183167_SRR7279624_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	110701991	109765596	99.15	94187598	85.0821	38.8056	60	31210347	28.4336	4839551	4.4090	2296699	2.0924	7392504	6.7348	64026495	58.3302	19.1931	14	4.0981
SRX4183158_SRR7279633_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	124804462	123992834	99.35	117637238	94.2572	48.4806	60	19587261	15.7971	1906808	1.5378	1333001	1.0751	7107157	5.7319	94058607	75.8581	22.9040	20	0.8775
SRX4183161_SRR7279630_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	105269782	104455043	99.23	97840844	92.9430	47.3328	60	17392016	16.6502	2492574	2.3863	1453187	1.3912	6426040	6.1520	76691226	73.4203	19.1684	16	1.6023
SRX4183145_SRR7279646_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	230568581	229438620	99.51	176856878	76.7047	37.7593	60	70034693	30.5244	10289137	4.4845	3983221	1.7361	14264932	6.2173	130866637	57.0378	36.9660	28	2.2407
SRX4183162_SRR7279629_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	138873205	138007848	99.38	130490106	93.9635	47.6202	60	23696297	17.1703	2259318	1.6371	1531485	1.1097	7540260	5.4636	102980488	74.6193	25.4592	21	1.0362
SRX4183171_SRR7279620_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	37053934	36671181	98.97	35282944	95.2205	47.0357	60	6748528	18.4028	532260	1.4514	384343	1.0481	1890468	5.1552	27115582	73.9425	6.9566	5	2.0909
SRX4183157_SRR7279634_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	160260292	159077325	99.26	151278148	94.3953	49.7088	60	21397118	13.4508	2751859	1.7299	1871531	1.1765	9410873	5.9159	123645944	77.7269	29.4716	26	0.8696
SRX4183164_SRR7279627_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	151414937	150557118	99.43	142130998	93.8685	48.0652	60	24658639	16.3783	2572930	1.7089	1681088	1.1166	8106869	5.3846	113537592	75.4116	27.8056	24	1.0501
SRX4183186_SRR7279605_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	77415875	76907341	99.34	73059818	94.3732	49.2103	60	11015813	14.3235	1327419	1.7260	887509	1.1540	4475007	5.8187	59201593	76.9778	14.2386	12	1.0099
SRX4183185_SRR7279606_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	98118193	97502678	99.37	89717950	91.4386	47.7213	60	16460086	16.8817	1608541	1.6497	1086614	1.1144	5754795	5.9022	72592642	74.4519	17.9831	15	1.1033
SRX4183183_SRR7279608_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	93118544	92554405	99.39	68651380	73.7247	38.6545	60	27991501	30.2433	3021490	3.2646	1422681	1.5371	5841325	6.3112	54277408	58.6438	14.5757	11	2.1956
SRX4183173_SRR7279618_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	63301023	62109057	98.12	59365904	93.7835	48.3319	60	9779556	15.7458	1163983	1.8741	730996	1.1770	3328867	5.3597	47105655	75.8435	11.7145	10	1.9166
SRX4183205_SRR7279586_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	36176278	35411960	97.89	33784782	93.3893	48.9168	60	5212779	14.7204	676790	1.9112	425061	1.2003	1901144	5.3686	27196186	76.7994	6.6795	6	2.7323
SRX4183166_SRR7279625_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	182410506	181151838	99.31	165328212	90.6352	46.6839	60	31199322	17.2227	5092216	2.8110	2803685	1.5477	11167688	6.1648	130888927	72.2537	33.0382	29	2.5226
SRX4183187_SRR7279604_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	104527511	103757666	99.26	96168186	92.0028	48.3164	60	16626616	16.0245	1646228	1.5866	1101082	1.0612	5939512	5.7244	78444228	75.6033	19.1416	16	0.8761
SRX4183190_SRR7279601_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	38371278	38126766	99.36	36195260	94.3290	50.8745	60	4410493	11.5680	637598	1.6723	434758	1.1403	2310401	6.0598	30333516	79.5596	7.0381	6	1.7644
SRX4183181_SRR7279610_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	109420689	108774367	99.41	103756772	94.8237	50.6508	60	13152541	12.0916	1719471	1.5808	1189087	1.0932	6326547	5.8162	86386721	79.4183	20.1702	18	0.8473
SRX4183182_SRR7279609_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	144243244	143340905	99.37	136844224	94.8705	47.3064	60	25716490	17.9408	2028594	1.4152	1460382	1.0188	7969526	5.5598	106165913	74.0653	26.4945	22	0.6579
SRX4183211_SRR7279580_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	59532656	58968375	99.05	51719240	86.8754	35.8500	60	20022832	33.9552	2344170	3.9753	1161818	1.9702	3667281	6.2191	31772274	53.8802	10.5516	7	6.3938
SRX4183188_SRR7279603_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	78725283	78232248	99.37	73938630	93.9198	48.6426	60	12153086	15.5346	1207554	1.5436	841085	1.0751	4376403	5.5941	59654120	76.2526	14.4938	12	1.6194
SRX4183206_SRR7279585_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	104406664	103884771	99.50	95318366	91.2953	45.5317	60	20836777	20.0576	2208107	2.1255	1305020	1.2562	5941882	5.7197	73592985	70.8410	18.8967	16	0.4684
SRX4183180_SRR7279611_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	160980002	160188388	99.51	132659926	82.4077	43.9874	60	33992792	21.2205	5195336	3.2433	2580882	1.6112	10264195	6.4076	108155183	67.5175	27.1978	24	2.3584
SRX4183193_SRR7279598_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	115709820	115126662	99.50	109848326	94.9343	51.1387	60	13382802	11.6244	1576335	1.3692	1177078	1.0224	6157005	5.3480	92833442	80.6359	21.4175	19	0.7465
SRX4183212_SRR7279579_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	95398850	94755953	99.33	87462412	91.6808	46.3768	60	18206827	19.2144	1544072	1.6295	1028464	1.0854	5377151	5.6747	68599439	72.3959	17.4068	14	1.1796
SRX4183221_SRR7279570_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	36485635	36257298	99.37	34236570	93.8358	48.9577	60	5403177	14.9023	588416	1.6229	399053	1.1006	2061448	5.6856	27805204	76.6886	6.6880	6	1.7945
SRX4183204_SRR7279587_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	126290421	122767732	97.21	103152602	81.6789	41.0770	60	33352842	27.1674	2971097	2.4201	1600321	1.3035	7075542	5.7634	77767930	63.3456	20.9807	17	1.1364
SRX4183177_SRR7279614_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	207315200	206027317	99.38	190742128	92.0059	47.7829	60	35054443	17.0145	3197770	1.5521	2124072	1.0310	11222791	5.4472	154428241	74.9552	37.9838	33	0.6287
SRX4183213_SRR7279578_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	95289241	94596030	99.27	86684844	90.9702	41.2986	60	26333841	27.8382	1461841	1.5454	1018908	1.0771	5034477	5.3221	60746963	64.2172	17.3779	12	1.1328
SRX4183216_SRR7279575_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	46837854	46563177	99.41	43632242	93.1559	47.8715	60	7790857	16.7318	733488	1.5753	508736	1.0926	2706263	5.8120	34823833	74.7884	8.6401	7	1.4638
SRX4183208_SRR7279583_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	134217725	132509667	98.73	119547154	89.0696	45.6166	60	23029114	17.3792	5317650	4.0130	2717442	2.0508	9614245	7.2555	91831216	69.3015	23.9185	21	3.5454
SRX4183218_SRR7279573_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	72891861	72470045	99.42	68803304	94.3909	48.3711	60	11581859	15.9816	1108764	1.5300	787590	1.0868	4093607	5.6487	54898225	75.7530	13.4178	11	0.8657
