# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
36721.9	27735	0.941275	0.941275
22379.9	55464	1.022391	0.980999
13924.9	83193	1.230274	1.057654
9110.7	110925	1.365808	1.126915
7209.0	138655	1.278179	1.155538
6299.2	166388	1.242682	1.169590
5716.7	194120	1.291333	1.186184
5228.0	221849	1.382421	1.208925
4743.9	249580	1.367136	1.225452
4266.4	277316	1.420878	1.243566
3753.6	305046	1.418033	1.258379
3345.3	332778	1.263098	1.258771
3134.7	360532	1.175590	1.252143
3026.7	388262	1.199572	1.248305
2945.8	415994	1.187239	1.244128
2871.8	443752	1.213557	1.242191
2797.8	471488	1.229582	1.241445
2717.1	499239	1.265573	1.242773
2622.3	526968	1.341185	1.247745
2504.2	554700	1.316792	1.251099
2364.6	582433	1.334821	1.254949
2227.9	610185	1.329947	1.258255
2104.4	637915	1.351594	1.262158
1987.8	665657	1.338926	1.265257
1873.0	693405	1.374059	1.269419
1767.1	721142	1.354584	1.272580
1673.4	748889	1.349251	1.275332
1595.0	776625	1.304037	1.276344
1524.3	804368	1.343555	1.278598
1452.0	832123	1.352717	1.280995
1373.8	859878	1.351720	1.283212
1291.2	887628	1.316941	1.284251
1209.5	915358	1.365435	1.286629
1126.2	943090	1.381860	1.289320
1039.1	970828	1.368947	1.291521
955.4	998579	1.360381	1.293380
875.6	1026350	1.303500	1.293653
814.3	1054139	1.211620	1.291412
774.4	1081932	1.216524	1.289425
743.3	1109697	1.213232	1.287455
716.9	1137459	1.216881	1.285679
692.0	1165251	1.199430	1.283543
667.1	1193045	1.194725	1.281392
641.2	1220914	1.190098	1.279224
617.1	1248699	1.201141	1.277426
597.4	1276555	1.190626	1.275459
575.1	1304328	1.170274	1.273113
553.2	1332122	1.171406	1.270893
531.2	1359948	1.183630	1.269038
509.4	1387695	1.212503	1.267879
487.0	1415445	1.163574	1.265738
463.3	1443185	1.207193	1.264583
438.3	1471026	1.178652	1.262894
411.7	1501948	1.267009	1.262979
396.9	1529747	1.236804	1.262498
384.2	1557631	1.196455	1.261280
365.8	1585379	1.200476	1.260187
348.5	1613117	1.208088	1.259271
331.6	1640978	1.206812	1.258359
315.0	1668860	1.240058	1.258051
297.9	1696626	1.227875	1.257551
279.9	1724439	1.240274	1.257270
261.4	1752203	1.214742	1.256583
241.9	1780018	1.194650	1.255589
220.9	1807822	1.164578	1.254131
204.6	1835617	1.197407	1.253250
187.7	1863402	1.167148	1.251916
182.4	1897760	1.311957	1.252975
181.9	1930427	1.418882	1.255593
181.7	1961303	1.409176	1.257859
181.6	2018295	1.391106	1.261418
181.5	2075386	1.224469	1.260385
181.4	2103312	1.170527	1.259143
173.1	2131198	1.220400	1.258628
163.7	2159075	1.216859	1.258078
154.6	2186941	1.199889	1.257317
145.2	2214823	1.210226	1.256712
135.9	2242837	1.208609	1.256098
126.8	2270814	1.173646	1.255044
117.7	2298671	1.185034	1.254169
108.5	2326501	1.229253	1.253868
100.2	2354635	1.201753	1.253231
91.5	2382624	1.155819	1.252035
83.2	2410584	1.141544	1.250688
74.7	2438518	1.133669	1.249275
66.5	2466374	1.157874	1.248200
59.0	2494289	1.101717	1.246447
50.7	2522052	1.067545	1.244310
43.6	2549952	1.083333	1.242414
36.9	2577826	1.058945	1.240255
30.5	2605629	0.999353	1.237379
24.4	2633770	0.952744	1.233900
18.5	2662077	0.968498	1.230702
13.7	2690197	0.976107	1.227702
10.1	2718425	0.884002	1.223490
7.0	2746991	0.813829	1.218280
4.5	2772855	0.759575	1.212899
